id,notes,source_url,timestamp
bean_goose_decoy,"Requires Revontuli Coast DLC.",https://thehuntercotw.fandom.com/wiki/Decoys,2025-11-14T12:00:00Z
greylag_goose_decoy,"Requires Revontuli Coast DLC.",https://thehuntercotw.fandom.com/wiki/Decoys,2025-11-14T12:00:00Z
eurasian_teal_decoy,"Requires Revontuli Coast DLC.",https://thehuntercotw.fandom.com/wiki/Decoys,2025-11-14T12:00:00Z
eurasian_wigeon_decoy,"Requires Revontuli Coast DLC.",https://thehuntercotw.fandom.com/wiki/Decoys,2025-11-14T12:00:00Z
goldeneye_decoy,"Requires Revontuli Coast DLC.",https://thehuntercotw.fandom.com/wiki/Decoys,2025-11-14T12:00:00Z
canada_goose_decoy,"No explicit DLC sentence found on the Decoys wiki page.",,2025-11-14T12:30:00Z
magpie_goose_decoy,"No explicit DLC sentence found on the Decoys wiki page.",,2025-11-14T12:30:00Z
cinnamon_teal_decoy,"No explicit DLC sentence found on the Decoys wiki page.",,2025-11-14T12:30:00Z
ferruginous_duck_decoy,"No explicit DLC sentence found on the Decoys wiki page.",,2025-11-14T12:30:00Z
gadwall_decoy,"No explicit DLC sentence found on the Decoys wiki page.",,2025-11-14T12:30:00Z
green_winged_teal_decoy,"No explicit DLC sentence found on the Decoys wiki page.",,2025-11-14T12:30:00Z
harlequin_duck_decoy,"No explicit DLC sentence found on the Decoys wiki page.",,2025-11-14T12:30:00Z
mallard_decoy,"No explicit DLC sentence found on the Decoys wiki page.",,2025-11-14T12:30:00Z
tufted_duck_decoy,"No explicit DLC sentence found on the Decoys wiki page.",,2025-11-14T12:30:00Z
wild_turkey_female_decoy,"No explicit DLC sentence found on the Decoys wiki page.",,2025-11-14T12:30:00Z
